Input	Generic Wind Power Curve	Generic Onshore Wind Power Curve	Generic Offshore Wind Power Curve	Siemes SWT 36 120	Siemes SWT 60 154	LWST Offshore Wind Power Curve	HWST Offshore Wind Power Curve	NWST Wind Power Curve	HWST Wind Power Curve	LWST Wind Power Curve	NWST Offshore Wind Power Curve	Nordsee One Power Curve	NWST Wind Power Curve PL
29.6	0	0	0	0	0	0	100	0	100	0	0	0	0
29.7	0	0	0	0	0	0	100	0	100	0	0	0	0
29.8	0	0	0	0	0	0	100	0	100	0	0	0	0
29.9	0	0	0	0	0	0	100	0	100	0	0	0	0
30	0	0	0	0	0	0	100	0	100	0	0	0	0
30.1	0	0	0	0	0	0	100	0	100	0	0	0	0
30.2	0	0	0	0	0	0	100	0	100	0	0	0	0
30.3	0	0	0	0	0	0	100	0	100	0	0	0	0
30.4	0	0	0	0	0	0	100	0	100	0	0	0	0
30.5	0	0	0	0	0	0	100	0	100	0	0	0	0
30.6	0	0	0	0	0	0	100	0	95	0	0	0	0
30.7	0	0	0	0	0	0	100	0	90	0	0	0	0
30.8	0	0	0	0	0	0	100	0	85	0	0	0	0
30.9	0	0	0	0	0	0	100	0	80	0	0	0	0
31	0	0	0	0	0	0	100	0	75	0	0	0	0
31.1	0	0	0	0	0	0	100	0	70	0	0	0	0
31.2	0	0	0	0	0	0	100	0	65	0	0	0	0
31.3	0	0	0	0	0	0	100	0	60	0	0	0	0
31.4	0	0	0	0	0	0	0	0	55	0	0	0	0
31.5	0	0	0	0	0	0	0	0	50	0	0	0	0
31.6	0	0	0	0	0	0	0	0	45	0	0	0	0
31.7	0	0	0	0	0	0	0	0	40	0	0	0	0
31.8	0	0	0	0	0	0	0	0	35	0	0	0	0
31.9	0	0	0	0	0	0	0	0	30	0	0	0	0
32	0	0	0	0	0	0	0	0	25	0	0	0	0
32.1	0	0	0	0	0	0	0	0	20	0	0	0	0
32.2	0	0	0	0	0	0	0	0	15	0	0	0	0
32.3	0	0	0	0	0	0	0	0	10	0	0	0	0
32.4	0	0	0	0	0	0	0	0	5	0	0	0	0
32.5	0	0	0	0	0	0	0	0	0	0	0	0	0
32.6	0	0	0	0	0	0	0	0	0	0	0	0	0
32.7	0	0	0	0	0	0	0	0	0	0	0	0	0
32.8	0	0	0	0	0	0	0	0	0	0	0	0	0
32.9	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0
33.1	0	0	0	0	0	0	0	0	0	0	0	0	0
33.2	0	0	0	0	0	0	0	0	0	0	0	0	0
33.3	0	0	0	0	0	0	0	0	0	0	0	0	0
33.4	0	0	0	0	0	0	0	0	0	0	0	0	0
33.5	0	0	0	0	0	0	0	0	0	0	0	0	0
33.6	0	0	0	0	0	0	0	0	0	0	0	0	0
33.7	0	0	0	0	0	0	0	0	0	0	0	0	0
33.8	0	0	0	0	0	0	0	0	0	0	0	0	0
33.9	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0
34.1	0	0	0	0	0	0	0	0	0	0	0	0	0
34.2	0	0	0	0	0	0	0	0	0	0	0	0	0
34.3	0	0	0	0	0	0	0	0	0	0	0	0	0
34.4	0	0	0	0	0	0	0	0	0	0	0	0	0
34.5	0	0	0	0	0	0	0	0	0	0	0	0	0
34.6	0	0	0	0	0	0	0	0	0	0	0	0	0
34.7	0	0	0	0	0	0	0	0	0	0	0	0	0
34.8	0	0	0	0	0	0	0	0	0	0	0	0	0
34.9	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0
35.1	0	0	0	0	0	0	0	0	0	0	0	0	0
35.2	0	0	0	0	0	0	0	0	0	0	0	0	0
35.3	0	0	0	0	0	0	0	0	0	0	0	0	0
35.4	0	0	0	0	0	0	0	0	0	0	0	0	0
35.5	0	0	0	0	0	0	0	0	0	0	0	0	0
35.6	0	0	0	0	0	0	0	0	0	0	0	0	0
35.7	0	0	0	0	0	0	0	0	0	0	0	0	0
35.8	0	0	0	0	0	0	0	0	0	0	0	0	0
35.9	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0
36.1	0	0	0	0	0	0	0	0	0	0	0	0	0
36.2	0	0	0	0	0	0	0	0	0	0	0	0	0
36.3	0	0	0	0	0	0	0	0	0	0	0	0	0
36.4	0	0	0	0	0	0	0	0	0	0	0	0	0
36.5	0	0	0	0	0	0	0	0	0	0	0	0	0
36.6	0	0	0	0	0	0	0	0	0	0	0	0	0
36.7	0	0	0	0	0	0	0	0	0	0	0	0	0
36.8	0	0	0	0	0	0	0	0	0	0	0	0	0
36.9	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	0	0
37.1	0	0	0	0	0	0	0	0	0	0	0	0	0
37.2	0	0	0	0	0	0	0	0	0	0	0	0	0
37.3	0	0	0	0	0	0	0	0	0	0	0	0	0
37.4	0	0	0	0	0	0	0	0	0	0	0	0	0
37.5	0	0	0	0	0	0	0	0	0	0	0	0	0
37.6	0	0	0	0	0	0	0	0	0	0	0	0	0
37.7	0	0	0	0	0	0	0	0	0	0	0	0	0
37.8	0	0	0	0	0	0	0	0	0	0	0	0	0
37.9	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0	0	0	0
38.1	0	0	0	0	0	0	0	0	0	0	0	0	0
38.2	0	0	0	0	0	0	0	0	0	0	0	0	0
38.3	0	0	0	0	0	0	0	0	0	0	0	0	0
38.4	0	0	0	0	0	0	0	0	0	0	0	0	0
