Date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015-03-29	44506	42054.25	40805	40872	40733.75	40131	40970	44833	48030.75	50245.75	52671.5	52286	50142.75	48183.25	46729.75	46045.25	47754.75	49092.25	52365	51655	50676.5	50304.5	47490.75	43990.5
2015-03-30	42350.5	41781	42327.5	44135	48352.25	56704.25	62757.5	65645.75	66658	67922.5	69314	68630.5	67867.25	66617	65629.5	63534.5	63140.75	63762	64866.75	62442.75	59447.75	56426.75	51810.25	48735.25
2015-03-31	47570.25	46967.75	47324.25	48767	52633.75	60501.25	64487	66473.75	67460.25	68642.75	69673	68911.25	68114.5	66687	65328.75	63395	62654.25	63739.75	64525.75	62146.5	59007.75	55829.5	51191.5	49677.75
2015-04-01	47610	46839.5	47238.25	48925.5	52216.75	59631.5	65374.5	68505.5	69263.5	69615	71029	70091.5	69411.5	68192.75	66808	65093.25	64735.25	65772.75	66469.25	64788.5	61801	58410.5	53383.75	50705
2015-04-02	48647	47693.25	47970.5	49246.25	52601	59405	65605.75	68917.5	69465.75	70371	71767.5	70734.75	69661.5	68256.75	66396.5	64617.5	64118.5	64834.75	65715	64101	60844.5	57657	53379	45326.75
2015-04-03	42916.5	41743.75	41503.25	41840.5	42004.75	42932.5	45488.75	48734.25	51776.25	54261.75	56397	55504.75	53582.25	51263.25	49603.25	48020	48605.75	50587.5	51888.5	51464.75	50592.5	49775.5	46714	42900.75
2015-04-04	41120.5	40209.25	40191	40817.25	41716.5	42821.75	45681	48961.25	51775.25	53481	54291.5	53852.25	52659.5	51131.25	50464.25	49518.5	49722	52152.5	53588.25	51171	48775.25	47152.25	43947.25	41563.75
2015-04-05	39384	38318.75	38070.75	38286.75	38230.5	37590.75	39240.5	42545	45956	48570.25	51105	50634	47997.25	45650.25	44389.75	43365	44273.5	47000.25	48875.75	49191.5	48974.5	48821	45833.5	41034.75
2015-04-06	38691.75	37431.5	37210	37484	37411.25	37211	38919	42401.75	45877.5	48120.5	50190.25	49914.5	47675.75	45792.75	44368.75	43718	44823.5	47330	48820.25	48970.5	48074.25	47580.5	44484.5	41721.75
2015-04-07	40393.75	40125.25	40650.25	42346.5	46636.5	55128.25	60648.5	63902.75	64886.25	65730.5	67143.25	66526	65701.5	64494	63300.5	61407.5	60927.5	61230	61961.25	61471	58613.5	54712.75	49462	48114.25
2015-04-08	45718.25	44561.5	45141.75	46448.25	49375	56375.75	61338.25	66425	67301	67806.5	69049.75	68158.75	67119.5	65892.75	64867.75	63059.5	62572	63095.75	63236.5	62352.75	59774.25	56293.5	51236.25	47624.5
2015-04-09	45422	44418.75	44793	46183.5	49477.25	56405.5	60005	64045.25	64942.5	66009	67302	66901.5	66150	64748.75	62942.5	61367.5	60598.25	60629	61035	60447	57710	54381.75	49915	45594.25
2015-04-10	43537.5	42583.75	43071.25	44719	48228	55001.75	59088.25	63412.75	64476.5	65595	66253.75	65862.5	64539.5	62779	61372.75	59730.5	59198.5	59357.25	59449.25	58888.25	56599.75	53682	49610	44137.75
2015-04-11	42073.25	40994.5	41177	41997.25	43171	45347.5	48331.75	52290.5	55282.25	57099.75	58297.75	57127.5	55633.25	53825.5	52897.75	51658.75	51841.25	52589	52510.25	51658.25	49991	47942.25	44615	41051.75
2015-04-12	39121.5	38182.75	38057	38658	39319.5	40615.5	42911.75	46374	49306.25	51256.5	53330.5	52200	50317.25	48932	48073.25	47165.25	47746	49807	50747.75	51108.5	50129.75	48797.75	45357.75	41679.25
2015-04-13	40332.75	39923.5	40417	42434.25	47027	55247.75	60707.75	63903.5	64864.5	65546.25	66868.25	65865.25	65315.5	64307.5	63416.5	61266.75	61086	61349.75	61720.75	60687.75	58217.75	54347.5	49220.5	46824
2015-04-14	44890	44149.25	44488.25	46098	49463.5	56549	61429	65601.75	66461.5	66996.75	68310	67442.75	66621.25	65475.75	64172.5	62303	61912.5	62098.5	62166.5	61325.25	58768.5	55039.75	50062.25	44695.25
2015-04-15	42654	41555.75	41859	43241.75	46661	53401.5	56895.25	60622.5	61890.25	62683.75	63891.25	63483.75	62569.75	61166.25	59916.75	57996.5	57677.5	57762	58035.75	56969	54876.25	51711.75	47178	45528.75
2015-04-16	43505.5	42612.5	43046.75	44615.5	48342	55859.5	58915.75	63943.25	64588.75	65868.25	67375.5	66783.75	66163.25	64973.5	63489	61591.75	61188.25	60869.25	60481	59514.75	57114.5	53673.5	48919.25	46246
2015-04-17	44171.25	43165.25	43550.25	44994.75	48296.5	55447.25	61116.5	63928.5	64606	66094	67683.5	66950	65690.5	64576	63359.5	61690.75	61100.5	60992.5	59943	58845.75	56558.75	53281.75	49017.5	44007.5
2015-04-18	41407.5	40203.75	40156.25	40579.25	41352.75	42841.75	45722.5	49356.75	52102.5	53918	55317.25	55149.5	53585	52002.25	50949.25	50153.5	50763.75	51376.75	51845	50310.5	48620.25	46841.25	43558	40680.25
2015-04-19	38555.5	37411.25	37195	37591.5	37735.75	37355.75	39225.75	42582	45830	48403.75	50912.75	50857	49111.5	47448.5	46099.75	45699.25	44688.75	48341.75	48941.75	49269.25	49033.75	48466.5	45203.25	43855.75
2015-04-20	42044	41388.5	41814.5	43645.5	47384.75	55097.75	60690.5	63659.25	64562	65636.75	66837.5	65840.5	65082	63999	62566.25	60659.25	59997.25	60084.5	60421.25	59149	57268.5	53900	49195.5	43025
2015-04-21	41552.25	40868.75	41439.25	43356.25	47204	54751	59885.75	62575.75	63392.25	64371	65507.75	64711	64040.75	62932	61563.5	59559.25	59026	58858.5	58988.75	57908	55922.75	52229	47457.25	44146.75
2015-04-22	42343.25	41560.75	41995.75	43597.25	47441.5	54481.75	59809.75	62122.25	63032.5	64193.25	65472.25	64866.75	64168.5	62770.75	61396.75	59743	59315	59269	59294.75	58050.5	56416.5	52681.25	47747.5	45374
2015-04-23	43540.25	42652.75	42997.75	44380.75	47746.25	54903.25	60432.5	62860.5	63682.5	65187.75	66349.75	65850.25	65175.5	63758.75	62515.75	60855.75	60310.25	60318.25	60486	59090	56918	53337	48620.25	44829.25
2015-04-24	42788	41782	42145.25	43600	47245.5	54751.25	60641.5	63631.75	64214	65248	66042.75	65342.25	64054.5	62356.25	60974.25	59425.75	58922.75	58274	58178.5	56899	54810.25	51529.5	47387.75	43196.25
2015-04-25	41169.25	39995.5	39964.75	40371.25	41046.5	42493.25	45406.75	49408.25	52467.5	54458.5	55668.75	54568.75	52656.75	50988	49849.75	49087.5	47655.25	50393.75	50127.75	49748	48604.5	46293.25	42760.5	40912
2015-04-26	38945	37817	37616	38073.25	38297.25	38084	40030.5	43548	46805	49405.25	51847.5	51778.75	50132	48565.75	46531.5	45463.5	46537.25	48284.5	48923.75	48772	48648.75	47616.25	44283.5	40067.5
2015-04-27	38649	38048.25	38561.25	40401	44665.25	52964.5	58945	61872.5	62972.5	64516	65982.5	65422.75	64839	63723.25	62586.5	60645.75	59796.5	59733.5	59645.75	58153.75	56540.75	52702.75	47558	44274
2015-04-28	42393	41491.5	42020.5	43413.5	47389.75	55103.75	60398.5	62990	64168.75	65608.25	66833.5	66181.25	65576.25	64337.75	63044.75	61093	60525.5	60333	60220.25	58477	56731.5	52924	47900.75	43896.75
2015-04-29	42059.25	41196.5	41708.5	43235.75	46950	54327.25	59911	62826.25	63764.25	65247	66227.25	65633.25	65171	63777.75	62521	60853.25	59851	59218.5	59111.5	57513.75	55853.75	52268.5	47519.75	45711.5
2015-04-30	43832	42937	43562	45139	48804.5	55864	61302	64431.5	65491.25	66654.75	67668	66958.25	66310.5	65054.75	63914.5	62333	61355.75	61431.25	61602.5	59429.5	57168.25	53611.75	49124.75	42216.25
