Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario	1.2
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	29.62827968					53			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	29.44241953					54			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	29.25655937					55			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	29.07069921					56			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	28.88483905					57			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	28.69897889					58			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	28.51311873					59			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	28.32725857					60			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	28.14139841					61			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.95553825					62			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.7696781					63			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.58381794					64			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.39795778					65			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.21209762					66			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	27.02623746					67			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	26.84037731					68			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	26.65451715					69			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	26.46865699					70			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	25.42566968					71			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	23.19534778					72			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	20.96502588					73			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	18.73470398					74			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	16.50438208					75			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	14.27406017					76			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	12.04373827					77			
